0|ReplaceConstant|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:100 - ReplaceConstant - 0 -> 1
1|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:101 - ReplaceComparisonOperator == -> -2
2|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:101 - ReplaceComparisonOperator == -> >=
3|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:101 - ReplaceComparisonOperator == -> <=
4|ReplaceConstant|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:104 - ReplaceConstant - 0 -> 1
5|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:109 - ReplaceComparisonOperator == -> -2
6|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:109 - ReplaceComparisonOperator == -> >=
7|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:109 - ReplaceComparisonOperator == -> <=
8|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:111 - ReplaceComparisonOperator == -> -2
9|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:111 - ReplaceComparisonOperator == -> >=
10|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:111 - ReplaceComparisonOperator == -> <=
11|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:115 - ReplaceComparisonOperator <= -> -1
12|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.PathAnnotationRoutesParser.registerRulesFor(Ljava/lang/Class;)Ljava/util/List;:115 - ReplaceComparisonOperator <= -> ==
